ニックネーム,タイムスタンプ,問題番号,選択した色,クリックY/N,解答時間,評価
"","","","","","",""
"なまえ","2026-07-27T19:46:02.217Z","1","#ff0000","色選択","5.42",""
"なまえ","2026-07-27T19:46:03.479Z","1","#ff0000","No","6.68",""
"なまえ","2026-07-27T19:46:04.167Z","1","#ffba45","色選択","7.37",""
"なまえ","2026-07-27T19:46:05.545Z","1","#ffba45","No","8.75",""
"なまえ","2026-07-27T19:46:06.461Z","1","#ff8db4","色選択","9.66",""
"なまえ","2026-07-27T19:46:08.311Z","1","#ff8db4","No","11.51",""
"なまえ","2026-07-27T19:46:09.446Z","1","#ffcc99","色選択","12.65",""
"なまえ","2026-07-27T19:46:10.247Z","1","#ffcc99","Yes","13.45",""
"なまえ","2026-07-27T19:46:12.750Z","1","#ffcc99","review-next","15.95",""
"なまえ","2026-07-27T19:48:22.564Z","2","#c1e4f5","色選択","7.55",""
"なまえ","2026-07-27T19:48:23.980Z","2","#c1e4f5","No","8.96",""
"なまえ","2026-07-27T19:48:25.380Z","2","#83caeb","色選択","10.36",""
"なまえ","2026-07-27T19:48:26.261Z","2","#83caeb","Yes","11.24",""
"なまえ","2026-07-27T19:48:28.550Z","2","#83caeb","review-next","13.53",""
